Request Index,Car linear displacement,Car angular displacement,Engine linear displacement,Driver linear displacement,Rear linear displacement,Front linear displacement,Car linear velocity,Car angular velocity,Engine linear velocity,Driver linear velocity,Rear linear velocity,Front linear velocity,Car linear acceleration,Car angular acceleration,Engine linear acceleration,Driver linear acceleration,Rear linear acceleration,Front linear acceleration,Car equivalente force,Car equivalente torque,Engine equivalente force,Driver equivalente force,Rear equivalente force,Front equivalente force
0,-0.11704936632812335,0.08649605529703744,-0.1462852466089166,-0.11435488990917574,-0.12100590592120443,-0.018508711678386764,1.3351336151852418,-1.5445230941724328,1.987697389042033,1.3544872190108372,3.4891347636502985,0.28279234968067846,31.317740156399566,-56.206137858994765,47.83886163066513,-25.532573280828966,416.02990940977975,9.144222248210706,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
1,-0.11714454020352003,0.0865804334401677,-0.14435728696584893,-0.11443367918407459,-0.12099597676111291,-0.01854042796434894,1.3424999919290799,-1.5514724039217225,1.9069981431154313,1.3602140119555828,3.487688713474153,0.282342065304661,31.22584838603112,-56.12521997749285,50.52055424991332,-25.976924061153213,415.5065604204175,9.064329748725317,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
2,-0.11719343188759315,0.0866237721475318,-0.14337533038025652,-0.1144741838165451,-0.12099089122043907,-0.0185569987915812,1.3463713432937094,-1.5551120872078452,1.8634237343078877,1.3632362162296283,3.486948457198138,0.2820611527006755,31.178954684941882,-56.08395916316351,45.982446810320106,-26.217264292986663,415.1729032880109,8.990623014850824,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
3,-0.11722003526812738,0.0866473515088396,-0.14284324755015845,-0.1144962320152838,-0.12098812889793924,-0.01856625290293464,1.3485018367378678,-1.5571117109991222,1.8391309863967322,1.3649027881015852,3.4865464038761766,0.2818944006191445,31.153526051605827,-56.061594022117504,46.41024334222078,-26.351404473980573,414.97241792434784,8.9980050536566,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
4,-0.11723542435174547,0.08666099043972599,-0.14253614502305822,-0.11450898880034154,-0.12098653264290612,-0.018571709184720613,1.3497418220949866,-1.5582744698907343,1.824894527818703,1.3658738217399562,3.4863140693289614,0.28179350895120636,31.13884445052036,-56.04868401252746,46.65737974610147,-26.430069171231114,414.850278662335,9.002288641170768,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
5,-0.11723649248882395,0.0866619370764402,-0.14251484777355813,-0.11450987430633508,-0.12098642189463686,-0.018572091045131984,1.349828092131213,-1.5583553386203666,1.8239014318085904,1.365941408292373,3.486297949766856,0.2817863861522084,31.137826175518846,-56.047788686708216,46.67452428019675,-26.435558118857937,414.8416324752011,9.002586319171936,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
6,-0.11724489048336179,0.08666937968823082,-0.14234748487961194,-0.11451683673561376,-0.12098555137014144,-0.018575108457970422,1.3505072903106645,-1.5589918850957145,1.8160711075112692,1.3664736402751791,3.4861712425661624,0.281729843199396,31.129823623650967,-56.04075272803095,46.80927929961914,-26.47884417744548,414.77288860489836,9.004928364325284,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
7,-0.1172496561707201,0.08667360312589581,-0.14225257427686447,-0.11452078803110534,-0.12098505753206791,-0.018576833108200276,1.3508934442034737,-1.5593536893234183,1.8116099950320756,1.3667763377670121,3.4860993620095604,0.28169732952937543,31.125285031190288,-56.03676260303745,46.88571834064783,-26.503510835803027,414.7332730287974,9.00625869814137,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
8,-0.11725085218767985,0.08667466304727311,-0.14222876238082888,-0.1145217796945588,-0.12098493361543226,-0.01857726738108221,1.3509904369543815,-1.5594445546607878,1.8104884246647117,1.3668523795896426,3.4860813251927656,0.281689121330074,31.124146312145836,-56.03576152349508,46.90489821366491,-26.509712937622307,414.72326206625786,9.006592708410736,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
9,-0.11725478367251727,0.08667814713640844,-0.14215050961116782,-0.1145250395230911,-0.12098452633718833,-0.018578699081585232,1.3513094977030122,-1.5597434270730604,1.8067960395947862,1.3671025536007937,3.4860220429404762,0.2816620029714899,31.120404036087525,-56.032471671218026,46.96793515448542,-26.530133068978756,414.69015960087097,9.007691056105198,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
